year,ORIGIN,flights,cancelled,delayed15,dep_delay_sum,dep_delay_n
2014,ABE,1638,65,241,14425.0,1575
2014,ABI,2832,125,579,29491.0,2714
2014,ABQ,24635,315,5390,274926.0,24330
2014,ABR,752,18,80,921.0,735
2014,ABY,1003,21,170,6142.0,982
2014,ACK,397,4,74,1746.0,393
2014,ACT,1762,79,359,13154.0,1683
2014,ACV,3060,273,738,44743.0,2793
2014,ACY,491,13,92,5763.0,478
2014,ADK,104,6,28,383.0,98
2014,ADQ,536,32,61,-1154.0,504
2014,AEX,3425,134,641,32188.0,3293
2014,AGS,2655,55,481,19647.0,2602
2014,AKN,63,0,20,259.0,63
2014,ALB,7994,206,1525,73350.0,7792
2014,ALO,678,57,187,6627.0,621
2014,AMA,7263,237,1715,87887.0,7032
2014,ANC,16788,111,2074,41939.0,16712
2014,APN,626,16,69,77.0,610
2014,ART,237,37,71,1734.0,201
2014,ASE,4568,596,1190,66598.0,3981
2014,ATL,369779,5977,66898,3522550.0,363968
2014,ATW,2710,182,711,33425.0,2530
2014,AUS,43098,484,8668,452045.0,42628
2014,AVL,3395,114,670,31567.0,3282
2014,AVP,1697,85,296,16156.0,1616
2014,AZO,1829,114,292,6428.0,1717
2014,BDL,21783,467,4031,150435.0,21326
2014,BET,978,12,119,-1408.0,966
2014,BFL,3318,105,496,15207.0,3220
2014,BGR,824,44,113,4846.0,781
2014,BHM,14028,336,2977,162077.0,13696
2014,BIL,3242,39,328,5774.0,3204
2014,BIS,2307,88,422,16617.0,2221
2014,BJI,730,20,49,686.0,710
2014,BKG,670,22,142,7694.0,648
2014,BLI,923,5,123,882.0,919
2014,BMI,3136,135,648,24599.0,3004
2014,BNA,55670,1266,12949,678366.0,54427
2014,BOI,11228,119,2024,90398.0,11116
2014,BOS,110636,2316,21797,858572.0,108407
2014,BPT,1067,57,274,14318.0,1012
2014,BQK,1016,28,268,9872.0,988
2014,BQN,1407,24,266,10092.0,1385
2014,BRD,905,31,161,4493.0,875
2014,BRO,2444,94,503,20995.0,2350
2014,BRW,932,21,199,5826.0,911
2014,BTM,763,25,37,-1433.0,738
2014,BTR,8474,333,1943,104489.0,8148
2014,BTV,4198,212,883,48404.0,3990
2014,BUF,18383,612,3306,153837.0,17786
2014,BUR,21183,427,3650,152708.0,20764
2014,BWI,90851,1588,23826,1269405.0,89296
2014,BZN,4020,47,612,27127.0,3977
2014,CAE,7033,323,1554,84317.0,6720
2014,CAK,6824,149,1092,45141.0,6678
2014,CDC,654,6,48,-566.0,649
2014,CDV,724,6,103,-1334.0,718
2014,CEC,963,89,310,20858.0,874
2014,CHA,3918,86,760,34789.0,3834
2014,CHO,2040,75,477,22310.0,1965
2014,CHS,13772,451,2740,137701.0,13329
2014,CIC,1000,75,260,14731.0,925
2014,CID,6569,322,1781,84098.0,6261
2014,CIU,277,20,45,2971.0,258
2014,CLD,2498,58,417,11790.0,2441
2014,CLE,37465,1282,7804,391988.0,36216
2014,CLL,2704,110,457,15873.0,2596
2014,CLT,112243,1925,22943,917521.0,110396
2014,CMH,27081,844,6346,317017.0,26274
2014,CMI,2416,141,672,26562.0,2279
2014,CMX,732,87,179,11893.0,646
2014,CNY,521,4,13,-1946.0,517
2014,COD,865,44,129,3663.0,822
2014,COS,9143,254,1891,101181.0,8901
2014,COU,1353,42,357,12438.0,1312
2014,CPR,2367,63,384,9688.0,2308
2014,CRP,6676,221,1564,78848.0,6458
2014,CRW,3148,185,739,43138.0,2965
2014,CSG,1330,47,271,12737.0,1285
2014,CVG,20766,670,4411,202298.0,20120
2014,CWA,1400,113,377,15587.0,1289
2014,DAB,1613,17,232,11914.0,1596
2014,DAL,48308,654,12928,720462.0,47669
2014,DAY,9629,428,2017,93687.0,9208
2014,DBQ,900,62,190,7745.0,839
2014,DCA,72525,2269,13555,510294.0,70357
2014,DEN,224205,3140,59799,3114421.0,221277
2014,DFW,278309,6830,69953,3344062.0,271788
2014,DHN,1378,31,252,10222.0,1347
2014,DIK,1679,62,350,11403.0,1617
2014,DLG,77,0,37,1173.0,77
2014,DLH,1870,111,473,23964.0,1762
2014,DRO,2057,81,409,13523.0,1979
2014,DSM,9916,384,2600,121298.0,9534
2014,DTW,105980,1866,19685,937765.0,104225
2014,DVL,337,10,73,3066.0,327
2014,EAU,730,66,168,8070.0,666
2014,ECP,4107,47,668,33129.0,4060
2014,EGE,1200,40,318,27939.0,1162
2014,EKO,969,9,56,-201.0,960
2014,ELM,1962,63,365,17336.0,1900
2014,ELP,17202,260,3427,173345.0,16954
2014,ERI,407,20,111,6107.0,387
2014,ESC,51,6,9,667.0,45
2014,EUG,5228,182,932,37808.0,5050
2014,EVV,3232,163,783,32311.0,3074
2014,EWN,798,21,125,6227.0,777
2014,EWR,110356,4814,27438,1577205.0,105649
2014,EYW,3898,56,435,5823.0,3844
2014,FAI,2617,13,372,7047.0,2606
2014,FAR,5209,251,1261,55977.0,4964
2014,FAT,10465,185,2119,108803.0,10288
2014,FAY,2118,59,367,19598.0,2063
2014,FCA,2070,28,272,6282.0,2043
2014,FLG,1835,61,228,2057.0,1775
2014,FLL,64117,875,13708,788798.0,63258
2014,FNT,4307,100,717,29446.0,4207
2014,FOE,449,28,123,7183.0,421
2014,FSD,6920,307,1689,80274.0,6621
2014,FSM,2454,87,464,14238.0,2369
2014,FWA,3942,253,927,40261.0,3695
2014,GCC,1447,42,174,8760.0,1407
2014,GCK,729,16,162,10322.0,713
2014,GEG,9221,55,1187,41951.0,9171
2014,GFK,771,14,83,863.0,757
2014,GGG,709,45,174,4440.0,664
2014,GJT,3712,79,483,11485.0,3634
2014,GNV,2652,50,503,20144.0,2604
2014,GPT,4292,208,826,33349.0,4084
2014,GRB,4963,324,1063,41576.0,4644
2014,GRI,676,18,138,3846.0,658
2014,GRK,4786,230,802,33256.0,4561
2014,GRR,11510,439,2576,116561.0,11084
2014,GSO,8836,370,1723,81913.0,8478
2014,GSP,7364,288,1559,78003.0,7079
2014,GST,77,9,31,767.0,68
2014,GTF,1971,25,228,3332.0,1949
2014,GTR,1014,31,183,8069.0,988
2014,GUC,646,32,163,9306.0,615
2014,GUM,365,6,102,6872.0,360
2014,HDN,647,19,153,6424.0,628
2014,HIB,633,19,41,133.0,615
2014,HLN,1468,8,103,-404.0,1460
2014,HNL,46313,179,3880,76034.0,46152
2014,HOB,621,26,93,3334.0,595
2014,HOU,59506,955,15935,917037.0,58577
2014,HPN,7721,474,1809,82023.0,7256
2014,HRL,3792,75,668,36252.0,3722
2014,HSV,6336,243,1221,58810.0,6097
2014,HYA,76,1,13,355.0,75
2014,HYS,262,16,20,167.0,246
2014,IAD,58097,2032,14709,858196.0,56160
2014,IAH,174210,3744,39520,2034888.0,170615
2014,ICT,9201,332,2033,94918.0,8873
2014,IDA,2990,59,326,5148.0,2936
2014,ILG,706,4,221,13485.0,702
2014,ILM,2306,61,409,16405.0,2248
2014,IMT,679,29,106,3579.0,650
2014,IND,28527,786,5916,291617.0,27761
2014,INL,646,21,81,2511.0,627
2014,ISN,2816,105,475,23258.0,2713
2014,ISP,4959,103,1154,72448.0,4856
2014,ITO,6081,20,388,-10720.0,6065
2014,JAC,3565,75,728,32102.0,3491
2014,JAN,8092,280,1905,84469.0,7818
2014,JAX,21993,468,3970,182762.0,21530
2014,JFK,100560,2319,23070,1075450.0,98350
2014,JLN,709,25,168,6181.0,684
2014,JMS,518,29,100,2608.0,489
2014,JNU,4288,112,629,13407.0,4183
2014,KOA,10992,30,855,7925.0,10966
2014,KTN,2387,42,460,10744.0,2348
2014,LAN,1777,120,423,22544.0,1658
2014,LAR,728,39,161,7338.0,691
2014,LAS,137055,1115,30469,1633895.0,135967
2014,LAW,1516,94,240,6379.0,1422
2014,LAX,221932,2493,45778,2187771.0,219542
2014,LBB,6496,160,1265,63869.0,6338
2014,LCH,2042,64,319,11770.0,1980
2014,LEX,5764,261,1396,60517.0,5506
2014,LFT,6408,250,1327,54945.0,6164
2014,LGA,106966,4672,24488,1077703.0,102455
2014,LGB,11546,130,1693,53521.0,11423
2014,LIH,11164,56,751,-10103.0,11114
2014,LIT,13920,453,3662,180856.0,13475
2014,LMT,310,21,12,220.0,291
2014,LNK,2444,137,606,31151.0,2308
2014,LRD,2398,107,436,16983.0,2298
2014,LSE,1175,63,269,11596.0,1114
2014,LWS,649,10,23,-1941.0,640
2014,MAF,9949,288,2024,103159.0,9673
2014,MBS,1475,119,367,13879.0,1357
2014,MCI,44767,824,9192,477797.0,43957
2014,MCN,1,0,1,67.0,1
2014,MCO,110417,1249,23924,1398689.0,109200
2014,MDT,4012,150,835,40894.0,3870
2014,MDW,88501,2521,25568,1525966.0,85998
2014,MEI,150,3,41,1988.0,147
2014,MEM,15038,445,3084,147085.0,14605
2014,MFE,4448,116,775,31744.0,4336
2014,MFR,3119,179,614,38140.0,2942
2014,MGM,3543,119,696,31075.0,3424
2014,MHK,1782,69,412,12886.0,1713
2014,MHT,6754,193,1095,52509.0,6562
2014,MIA,82224,835,15582,632621.0,81433
2014,MKE,33654,952,7440,357644.0,32723
2014,MKG,729,61,215,8955.0,668
2014,MLB,1384,18,192,9077.0,1366
2014,MLI,4598,245,1171,49638.0,4360
2014,MLU,3277,114,678,27751.0,3167
2014,MMH,241,48,60,2382.0,194
2014,MOB,5551,223,1173,56492.0,5335
2014,MOD,465,28,107,4995.0,437
2014,MOT,1594,54,282,9742.0,1540
2014,MQT,314,15,133,6107.0,299
2014,MRY,4632,252,788,31444.0,4383
2014,MSN,10620,500,2210,92400.0,10132
2014,MSO,3432,53,484,17179.0,3381
2014,MSP,106218,1356,19631,832173.0,104928
2014,MSY,40490,595,7892,404913.0,39903
2014,MTJ,970,48,232,10050.0,923
