IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,Pennsylvania,USA,40.65236,-75.4404
ABI,Abilene Regional Airport,Abilene,Texas,USA,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,New Mexico,USA,35.04022,-106.60919
ABR,Aberdeen Regional Airport,Aberdeen,South dakota,USA,45.44906,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,Georgia,USA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,Massachusetts,USA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,Texas,USA,31.61129,-97.23052
ACV,Arcata Airport,Arcata/Eureka,California,USA,40.97812,-124.10862
ACY,Atlantic City International Airport,Atlantic City,New Jersey,USA,39.45758,-74.57717
ADK,Adak Airport,Adak,Alaska,USA,51.87796,-176.64603
ADQ,Kodiak Airport,Kodiak,Alaska,USA,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,Louisiana,USA,31.32737,-92.54856
AGS,Augusta Regional Airport (Bush Field),Augusta,Georgia,USA,33.36996,-81.9645
AKN,King Salmon Airport,King Salmon,Alaska,USA,58.6768,-156.64922
ALB,Albany International Airport,Albany,New York,USA,42.74812,-73.80298
ALO,Waterloo Regional Airport,Waterloo,Iowa,USA,42.55708,-92.40034
AMA,Rick Husband Amarillo International Airport,Amarillo,Texas,USA,35.21937,-101.70593
ANC,Ted Stevens Anchorage International Airport,Anchorage,Alaska,USA,61.17432,-149.99619
APN,Alpena County Regional Airport,Alpena,Michigan,USA,45.07807,-83.56029
ASE,Aspen-Pitkin County Airport,Aspen,Colorado,USA,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,USA,33.64044,-84.42694
ATW,Appleton International Airport,Appleton,Wisconsin,USA,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,Texas,USA,30.19453,-97.66987
AVL,Asheville Regional Airport,Asheville,North Carolina,USA,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,Pennsylvania,USA,41.33815,-75.72427
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,Michigan,USA,42.23488,-85.55206
BDL,Bradley International Airport,Windsor Locks,Connecticut,USA,41.93887,-72.68323
BET,Bethel Airport,Bethel,Alaska,USA,60.77978,-161.838
BFL,Meadows Field,Bakersfield,California,USA,35.4336,-119.05677
BGM,Greater Binghamton Airport,Binghamton,New York,USA,42.20848,-75.97961
BGR,Bangor International Airport,Bangor,Maine,USA,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,Alabama,USA,33.56294,-86.75355
BIL,Billings Logan International Airport,Billings,Montana,USA,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,North Dakota,USA,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,Minnesota,USA,47.50942,-94.93372
BLI,Bellingham International Airport,Bellingham,Washington,USA,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,Illinois,USA,40.47799,-88.91595
BNA,Nashville International Airport,Nashville,Tennessee,USA,36.12448,-86.67818
BOI,Boise Airport (Boise Air Terminal),Boise,Idaho,USA,43.56444,-116.22278
BOS,Gen. Edward Lawrence Logan International Airport,Boston,Massachusetts,USA,42.36435,-71.00518
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,Texas,USA,29.95083,-94.02069
BQK,Brunswick Golden Isles Airport,Brunswick,Georgia,USA,31.25903,-81.46631
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944
BRD,Brainerd Lakes Regional Airport,Brainerd,Minnesota,USA,46.39786,-94.13723
BRO,Brownsville/South Padre Island International Airport,Brownsville,Texas,USA,25.90683,-97.42586
