year,OP_CARRIER,CANCELLATION_CODE,count
2014,AA,A,2097
2014,AA,B,5523
2014,AA,C,837
2014,AS,A,315
2014,AS,B,413
2014,AS,C,31
2014,B6,A,1777
2014,B6,B,2980
2014,B6,C,1319
2014,DL,A,1194
2014,DL,B,4984
2014,DL,C,324
2014,EV,A,6305
2014,EV,B,12235
2014,EV,C,15586
2014,EV,D,2
2014,F9,A,161
2014,F9,B,196
2014,FL,A,305
2014,FL,B,1139
2014,FL,C,72
2014,HA,A,127
2014,HA,B,31
2014,MQ,A,4983
2014,MQ,B,11508
2014,MQ,C,4665
2014,OO,A,5769
2014,OO,B,9964
2014,OO,C,2574
2014,OO,D,1
2014,UA,A,3480
2014,UA,B,3254
2014,UA,C,596
2014,US,A,2488
2014,US,B,3045
2014,US,C,1197
2014,US,D,7
2014,VX,A,277
2014,VX,C,58
2014,WN,A,7144
2014,WN,B,5967
2014,WN,C,2054
2015,AA,A,2879
2015,AA,B,7306
2015,AA,C,730
2015,AA,D,4
2015,AS,A,334
2015,AS,B,317
2015,AS,C,18
2015,B6,A,883
2015,B6,B,2464
2015,B6,C,928
2015,B6,D,1
2015,DL,A,594
2015,DL,B,2973
2015,DL,C,257
2015,EV,A,3604
2015,EV,B,5082
2015,EV,C,6544
2015,EV,D,1
2015,F9,A,308
2015,F9,B,280
2015,HA,A,170
2015,HA,B,1
2015,MQ,A,2475
2015,MQ,B,9164
2015,MQ,C,3385
2015,MQ,D,1
2015,NK,A,654
2015,NK,B,1068
2015,NK,C,279
2015,NK,D,3
2015,OO,A,3205
2015,OO,B,5539
2015,OO,C,1216
2015,UA,A,2870
2015,UA,B,3312
2015,UA,C,391
2015,US,A,1007
2015,US,B,2490
2015,US,C,570
2015,VX,A,157
2015,VX,B,12
2015,VX,C,365
2015,WN,A,6122
2015,WN,B,8843
2015,WN,C,1066
2015,WN,D,12
2016,AA,A,3804
2016,AA,B,6024
2016,AA,C,1030
2016,AA,D,9
2016,AS,A,337
2016,AS,B,439
2016,AS,C,39
2016,B6,A,1018
2016,B6,B,2003
2016,B6,C,776
2016,DL,A,2319
2016,DL,B,1687
2016,DL,C,100
2016,DL,D,10
2016,EV,A,2423
2016,EV,B,3224
2016,EV,C,6242
2016,F9,A,304
2016,F9,B,875
2016,HA,A,114
2016,HA,B,4
2016,NK,A,954
2016,NK,B,1419
2016,NK,C,254
2016,NK,D,2
2016,OO,A,461
2016,OO,B,7076
2016,OO,C,905
2016,OO,D,4
2016,UA,A,1741
2016,UA,B,3435
2016,UA,C,293
2016,UA,D,1
2016,VX,A,322
2016,VX,B,1
2016,VX,C,346
2016,WN,A,6482
2016,WN,B,8278
2016,WN,C,1106
2017,AA,A,2782
2017,AA,B,8166
2017,AA,C,1155
2017,AA,D,35
2017,AS,A,736
2017,AS,B,614
2017,AS,C,157
2017,AS,D,1
2017,B6,A,1899
2017,B6,B,3905
2017,B6,C,2344
2017,B6,D,140
2017,DL,A,2996
2017,DL,B,4813
2017,DL,C,1125
2017,DL,D,26
2017,EV,A,1323
2017,EV,B,4155
2017,EV,C,4488
2017,F9,A,255
2017,F9,B,699
2017,F9,D,12
2017,HA,A,210
2017,HA,B,20
2017,NK,A,2095
2017,NK,B,2522
2017,NK,C,444
2017,NK,D,80
2017,OO,A,699
2017,OO,B,8479
2017,OO,C,1280
2017,UA,A,640
2017,UA,B,4380
2017,UA,C,926
2017,UA,D,13
2017,VX,A,265
2017,VX,B,6
2017,VX,C,756
2017,VX,D,6
2017,WN,A,4702
2017,WN,B,10700
2017,WN,C,2638
2017,WN,D,6
2018,9E,A,341
2018,9E,B,2201
2018,9E,C,3813
2018,AA,A,4494
2018,AA,B,9699
2018,AA,C,726
2018,AA,D,26
2018,AS,A,1051
2018,AS,B,565
2018,AS,C,591
2018,B6,A,1360
2018,B6,B,3691
2018,B6,C,1368
2018,DL,A,434
2018,DL,B,2902
2018,DL,C,192
2018,EV,A,1543
2018,EV,B,1553
2018,EV,C,2574
2018,F9,A,1592
2018,F9,B,736
2018,G4,A,400
2018,G4,B,331
2018,G4,C,33
2018,G4,D,5
2018,HA,A,237
2018,HA,B,13
2018,MQ,A,1742
2018,MQ,B,2532
2018,MQ,C,6381
2018,NK,A,291
2018,NK,B,1268
2018,NK,C,177
2018,NK,D,1
2018,OH,A,4626
2018,OH,B,6477
2018,OH,C,765
2018,OH,D,2
2018,OO,A,729
2018,OO,B,8183
2018,OO,C,1698
2018,UA,A,912
2018,UA,B,3797
2018,UA,C,194
2018,VX,A,159
2018,VX,B,200
2018,VX,C,74
2018,WN,A,5287
2018,WN,B,10081
2018,WN,C,2906
2018,WN,D,1
2018,YV,A,2398
2018,YV,B,2483
2018,YV,C,641
2018,YV,D,8
2018,YX,A,1888
2018,YX,B,5272
2018,YX,C,2939
2018,YX,D,1
