year,month,dow,flights,delayed15,arr_delay_sum,arr_delay_n
2014,1,0,64004,14041,573377.0,59634
2014,1,1,60412,12405,440343.0,52862
2014,1,2,75608,19298,854474.0,70494
2014,1,3,80652,24203,1249261.0,75842
2014,1,4,80874,22434,1118382.0,75858
2014,1,5,50864,13999,758825.0,48794
2014,1,6,59535,13614,608433.0,56136
2014,2,0,64921,14238,544478.0,61795
2014,2,1,62063,12604,308436.0,58797
2014,2,2,63297,13613,461771.0,57666
2014,2,3,65603,17143,794793.0,59102
2014,2,4,65890,20481,1074511.0,63054
2014,2,5,50138,10855,341483.0,48526
2014,2,6,58690,12506,378759.0,56801
2014,3,0,84644,17456,522128.0,81662
2014,3,1,65910,11568,205689.0,64739
2014,3,2,66718,13910,450464.0,64933
2014,3,3,67985,13571,358314.0,67134
2014,3,4,68053,12255,254756.0,67434
2014,3,5,70129,15945,587688.0,69092
2014,3,6,80319,17592,542008.0,78049
2014,4,0,67451,15607,537687.0,66282
2014,4,1,81378,15914,455358.0,79742
2014,4,2,82288,14767,374947.0,81042
2014,4,3,67645,13307,363146.0,66789
2014,4,4,67434,12499,251226.0,66808
2014,4,5,53710,6089,-107357.0,53452
2014,4,6,63593,13623,379962.0,62766
2014,5,0,66962,13393,455490.0,65173
2014,5,1,66892,13531,555356.0,64160
2014,5,2,67448,14267,474408.0,66110
2014,5,3,85113,23217,1095380.0,82723
2014,5,4,85299,21060,813218.0,83783
2014,5,5,66494,9009,-4054.0,65875
2014,5,6,61070,9668,150530.0,60249
2014,6,0,85931,22308,1030293.0,83506
2014,6,1,68408,16541,652773.0,66985
2014,6,2,68677,19957,1118294.0,66305
2014,6,3,69424,21187,1069968.0,67241
2014,6,4,69660,19629,882175.0,68204
2014,6,5,58357,12003,404254.0,57491
2014,6,6,82160,18081,561680.0,80984
2014,7,0,70044,16739,707881.0,68551
2014,7,1,85993,19083,743793.0,83947
2014,7,2,86793,22499,1000235.0,85103
2014,7,3,87466,22259,1075225.0,85025
2014,7,4,65018,12469,336636.0,64167
2014,7,5,58503,10474,230121.0,57895
2014,7,6,67063,13628,394971.0,66315
2014,8,0,68949,15510,637421.0,67675
2014,8,1,67352,15480,628116.0,66027
2014,8,2,67822,12577,297644.0,67118
2014,8,3,68840,14772,474704.0,68126
2014,8,4,86526,20069,798212.0,85260
2014,8,5,69495,11576,233868.0,68636
2014,8,6,78507,15722,501014.0,77275
2014,9,0,82227,14068,308710.0,81403
2014,9,1,79646,13465,254860.0,78925
2014,9,2,63989,8342,1230.0,63257
2014,9,3,65274,13112,375860.0,64551
2014,9,4,65428,13473,496666.0,62723
2014,9,5,49760,7218,108486.0,48777
2014,9,6,63165,11500,302128.0,62089
2014,10,0,66526,15185,663480.0,65339
2014,10,1,64017,10672,161351.0,63455
2014,10,2,81792,15250,346873.0,81060
2014,10,3,83057,16630,520783.0,81506
2014,10,4,81470,17434,585325.0,80059
2014,10,5,50714,6927,6824.0,50481
2014,10,6,63435,10187,146750.0,63113
2014,11,0,64190,13041,383259.0,63198
2014,11,1,64227,11682,234958.0,63333
2014,11,2,66037,13559,434914.0,65093
2014,11,3,60279,11294,239537.0,59692
2014,11,4,62362,9199,42577.0,62003
2014,11,5,66145,9961,59773.0,65743
2014,11,6,78814,15921,446715.0,77984
2014,12,0,81450,18687,612479.0,80270
2014,12,1,79022,22408,935747.0,76962
2014,12,2,73564,16682,533457.0,72115
2014,12,3,61646,12902,315873.0,60626
2014,12,4,65409,16103,589506.0,64646
2014,12,5,54403,10983,224649.0,53925
2014,12,6,61689,12398,275851.0,60856
2015,1,0,64167,15400,583210.0,61472
2015,1,1,60837,10898,249151.0,57138
2015,1,2,62141,10376,134694.0,60697
2015,1,3,78022,13988,285404.0,76284
2015,1,4,80955,16941,467506.0,79814
2015,1,5,64165,12846,296379.0,63138
2015,1,6,59681,15502,640539.0,58470
2015,2,0,64543,15979,737189.0,57792
2015,2,1,62323,13968,512053.0,59806
2015,2,2,63374,12749,329543.0,61633
2015,2,3,65156,17051,671942.0,63746
2015,2,4,65429,13240,396076.0,63942
2015,2,5,50649,9514,241550.0,47801
2015,2,6,57717,12678,503607.0,52943
2015,3,0,84070,16179,493176.0,82313
2015,3,1,81783,13892,259658.0,80156
2015,3,2,66325,11775,224570.0,64602
2015,3,3,67525,13562,439336.0,64260
2015,3,4,67689,15631,501485.0,66406
2015,3,5,57245,8520,60834.0,56840
2015,3,6,79675,15893,442591.0,77561
2015,4,0,67324,12671,385072.0,66131
2015,4,1,65309,8594,-38876.0,64801
2015,4,2,83345,11843,10033.0,82808
2015,4,3,84333,16861,524117.0,82801
2015,4,4,67517,15653,612754.0,66329
2015,4,5,53879,7639,19736.0,53378
2015,4,6,63444,8986,3126.0,63003
2015,5,0,66703,14974,624832.0,65311
2015,5,1,66529,12421,361001.0,65401
2015,5,2,67087,12519,349283.0,66045
2015,5,3,68180,11998,208244.0,67563
2015,5,4,85125,14142,205934.0,84459
2015,5,5,66322,9151,13660.0,65544
2015,5,6,77047,14440,433095.0,75318
2015,6,0,86192,20134,972771.0,82843
2015,6,1,84879,20597,955638.0,82478
2015,6,2,68433,15304,632145.0,66917
2015,6,3,69498,17056,699291.0,68392
2015,6,4,69642,16521,643702.0,68721
2015,6,5,58683,11633,349293.0,57795
2015,6,6,66570,14497,479275.0,65701
2015,7,0,69630,14807,518823.0,68611
2015,7,1,68987,16219,623230.0,67841
2015,7,2,86135,20875,817017.0,84988
2015,7,3,87142,19224,664397.0,86055
2015,7,4,84523,15071,285632.0,83737
2015,7,5,57316,10142,216228.0,56683
2015,7,6,66985,11289,183075.0,66469
2015,8,0,85615,16230,465958.0,84253
2015,8,1,67266,14602,482903.0,66250
2015,8,2,67675,11361,180876.0,66977
2015,8,3,68587,14658,545196.0,67476
2015,8,4,68725,11836,212296.0,68176
2015,8,5,70989,11351,201404.0,70024
2015,8,6,81679,14075,233280.0,80800
2015,9,0,64972,6649,-194708.0,64715
2015,9,1,79315,8895,-148968.0,78687
2015,9,2,80151,9695,-149906.0,79792
2015,9,3,65617,12193,317858.0,64864
2015,9,4,65658,10909,204881.0,65213
2015,9,5,49508,5237,-184880.0,49322
2015,9,6,59725,6483,-201323.0,59560
2015,10,0,66295,6808,-176331.0,66080
2015,10,1,63742,5027,-332746.0,63586
2015,10,2,64906,6762,-160287.0,64584
2015,10,3,82927,11075,10751.0,82453
2015,10,4,82501,14630,430586.0,81063
2015,10,5,62731,7552,-92721.0,62243
