year,dep_hour,flights,delayed15,dep_delay_sum,dep_delay_n
2014,0,8876,1155,44180.0,8817
2014,1,4223,551,16585.0,4205
2014,2,1027,178,6921.0,1014
2014,3,728,122,4450.0,707
2014,4,472,66,2094.0,465
2014,5,73520,5720,105317.0,71440
2014,6,409664,37320,697496.0,400046
2014,7,385843,44179,1029217.0,378650
2014,8,415233,59473,1920724.0,407485
2014,9,353015,56039,2106164.0,346924
2014,10,381628,66245,2834456.0,374756
2014,11,375533,71028,3252853.0,369232
2014,12,357621,73063,3550478.0,351020
2014,13,377371,85832,4295116.0,370189
2014,14,351054,86736,4548922.0,343923
2014,15,362348,93859,5040641.0,355129
2014,16,349556,95476,5236880.0,341165
2014,17,400450,113783,6285101.0,390843
2014,18,337125,101690,5771572.0,328157
2014,19,335424,101155,5850649.0,326827
2014,20,246917,74371,4210189.0,240561
2014,21,174737,49071,2701251.0,170319
2014,22,85083,17934,848273.0,83289
2014,23,32363,5482,269387.0,31906
2015,0,14664,2313,104729.0,14546
2015,1,5159,956,41300.0,5107
2015,2,1414,237,10072.0,1386
2015,3,778,136,6840.0,767
2015,4,531,106,5457.0,528
2015,5,118051,8403,220109.0,116029
2015,6,406940,35995,842233.0,399811
2015,7,393947,43478,1264622.0,388874
2015,8,381014,48353,1761370.0,375889
2015,9,351403,49113,1971139.0,347210
2015,10,371644,56461,2530902.0,367081
2015,11,358084,57861,2753329.0,353758
2015,12,355611,61499,3143327.0,351068
2015,13,363509,68106,3517118.0,359000
2015,14,329715,67547,3634172.0,325108
2015,15,367760,77632,4331908.0,362767
2015,16,334153,75598,4251233.0,328743
2015,17,390362,93608,5311399.0,383856
2015,18,334380,84724,4918804.0,328155
2015,19,331338,85148,4906668.0,325468
2015,20,259432,66741,3890733.0,254417
2015,21,187467,44627,2523488.0,183984
2015,22,117551,26435,1361132.0,115634
2015,23,44172,8362,416340.0,43740
2016,0,16275,2444,121960.0,16123
2016,1,5748,803,30396.0,5679
2016,2,1708,339,18736.0,1682
2016,3,969,189,7470.0,954
2016,4,519,71,2403.0,509
2016,5,127642,8480,280670.0,125866
2016,6,386837,30480,685371.0,382365
2016,7,382125,39243,1010646.0,378279
2016,8,367510,42383,1390540.0,363875
2016,9,345467,44793,1752268.0,342243
2016,10,346544,48547,2097113.0,343470
2016,11,350844,52124,2343771.0,347761
2016,12,334553,53791,2723041.0,331435
2016,13,344564,59873,3101287.0,341187
2016,14,315587,61042,3342993.0,312338
2016,15,343691,69003,3891418.0,340020
2016,16,320985,69555,4037664.0,317108
2016,17,374353,85478,5060659.0,369271
2016,18,321730,78411,4730868.0,316991
2016,19,310614,75308,4614815.0,306187
2016,20,262137,65547,3930060.0,258218
2016,21,172795,39062,2337839.0,170416
2016,22,135198,27501,1566784.0,133396
2016,23,49263,9772,564744.0,48829
2017,0,16111,2216,105185.0,15851
2017,1,5624,755,33558.0,5522
2017,2,1644,331,27888.0,1542
2017,3,1152,309,20565.0,1092
2017,4,494,131,6884.0,481
2017,5,123646,8246,192426.0,121680
2017,6,404506,34382,701544.0,398592
2017,7,384727,40720,1042176.0,379600
2017,8,388742,49402,1684743.0,383900
2017,9,336979,47457,1898374.0,332941
2017,10,347191,53056,2297079.0,343123
2017,11,348582,57518,2793484.0,344442
2017,12,347220,60556,3180416.0,342923
2017,13,340163,63655,3442108.0,335876
2017,14,313802,64163,3637023.0,309485
2017,15,350180,75026,4338473.0,345260
2017,16,323783,73168,4304853.0,318870
2017,17,378659,91225,5626376.0,372733
2017,18,316276,82092,5067236.0,311128
2017,19,312023,79293,5061342.0,306705
2017,20,271080,67692,4213679.0,266722
2017,21,169501,39420,2460134.0,166207
2017,22,145097,29724,1737484.0,142926
2017,23,47439,8937,535430.0,46677
2018,0,17792,3103,159449.0,17597
2018,1,6946,1055,62903.0,6886
2018,2,1901,427,27560.0,1870
2018,3,1240,329,23519.0,1215
2018,4,935,172,8305.0,915
2018,5,174204,13124,337504.0,171001
2018,6,514663,47968,1124040.0,506698
2018,7,489608,56332,1523310.0,482801
2018,8,479798,64309,2128148.0,473448
2018,9,422519,59175,2292060.0,417002
2018,10,437596,68405,2888449.0,431884
2018,11,451229,73830,3554206.0,445185
2018,12,453775,81668,4091872.0,447378
2018,13,409040,79990,4223970.0,403157
2018,14,420925,88539,4872265.0,414225
2018,15,435231,96272,5493895.0,428022
2018,16,418060,98205,5730534.0,410370
2018,17,468888,116926,7108341.0,459685
2018,18,411054,108551,6889672.0,401906
2018,19,386706,99298,6357670.0,378810
2018,20,348558,88973,5528709.0,341600
2018,21,216207,51956,3234886.0,212118
2018,22,196985,44404,2587866.0,193330
2018,23,49586,9699,499096.0,49109
