year,month,OP_CARRIER,flights,cancelled,diverted,delayed15,dep_delay_sum,dep_delay_n,arr_delay_sum,arr_delay_n,taxi_out_sum,taxi_in_sum,carrier_min,weather_min,nas_min,security_min,late_aircraft_min
2014,1,AA,45401,1574,116,9381,491765.0,43852,263255.0,43711,700720.0,366024.0,179577.0,51078.0,92201.0,61.0,208737.0
2014,1,AS,12403,152,82,1279,8890.0,12263,-48357.0,12169,180873.0,69705.0,20450.0,3951.0,17736.0,34.0,24933.0
2014,1,B6,20219,2164,89,6462,486923.0,18075,454022.0,17966,332155.0,118394.0,175107.0,54196.0,86102.0,903.0,217786.0
2014,1,DL,59030,2997,105,14498,976336.0,56072,754457.0,55928,1073644.0,437899.0,373435.0,157417.0,210913.0,139.0,306835.0
2014,1,EV,58508,8987,156,16611,1108198.0,49626,972120.0,49365,835836.0,365651.0,396413.0,58276.0,252646.0,195.0,498103.0
2014,1,F9,5736,84,5,2100,113392.0,5653,126670.0,5647,90518.0,42332.0,25886.0,4589.0,53316.0,0.0,52497.0
2014,1,FL,9405,588,41,2581,121222.0,8829,95993.0,8776,126267.0,75091.0,31100.0,3404.0,29707.0,0.0,67199.0
2014,1,HA,6019,1,11,422,-8906.0,6019,-2694.0,6007,62654.0,38870.0,8731.0,1803.0,350.0,0.0,4557.0
2014,1,MQ,34382,4205,86,9783,517900.0,30268,566481.0,30091,531393.0,273180.0,161430.0,93736.0,176651.0,94.0,257185.0
2014,1,OO,50484,2663,243,11094,456531.0,47924,393500.0,47578,823149.0,338648.0,165847.0,27921.0,126996.0,746.0,302793.0
2014,1,UA,39225,1888,46,9390,623526.0,37367,368667.0,37291,641660.0,306365.0,212798.0,55483.0,115767.0,0.0,215036.0
2014,1,US,34763,1052,60,6690,216179.0,33761,137151.0,33651,625819.0,237216.0,114098.0,12850.0,99492.0,666.0,93202.0
2014,1,VX,4810,58,10,686,30703.0,4752,4601.0,4742,63613.0,38680.0,8464.0,4746.0,13037.0,31.0,13748.0
2014,1,WN,91564,4439,427,29017,1945108.0,87161,1517229.0,86698,1018952.0,532623.0,511115.0,48601.0,201743.0,2484.0,980806.0
2014,2,AA,41036,1960,112,8607,427114.0,39102,271633.0,38964,652717.0,327771.0,157093.0,33563.0,126655.0,55.0,193839.0
2014,2,AS,11332,134,40,1450,18478.0,11214,-24744.0,11158,163417.0,63621.0,18846.0,4161.0,27246.0,326.0,25228.0
2014,2,B6,18485,1025,85,5432,267903.0,17465,242073.0,17375,330111.0,107843.0,99283.0,12301.0,85630.0,937.0,123648.0
2014,2,DL,54101,2556,84,9546,480056.0,51586,260104.0,51461,967262.0,379452.0,209524.0,59142.0,135604.0,211.0,141675.0
2014,2,EV,53434,6263,153,15504,980735.0,47256,839121.0,47018,774330.0,344162.0,345758.0,31485.0,208308.0,288.0,461576.0
2014,2,F9,5195,24,9,1825,81558.0,5174,92418.0,5162,79638.0,38188.0,17836.0,1588.0,42702.0,0.0,37831.0
2014,2,FL,8226,567,10,1479,64879.0,7661,32642.0,7649,106599.0,60196.0,18569.0,1524.0,17015.0,0.0,34658.0
2014,2,HA,5418,4,4,526,-3443.0,5414,4413.0,5410,55883.0,34120.0,13464.0,1387.0,199.0,0.0,6636.0
2014,2,MQ,30938,2716,98,7541,311175.0,28282,324328.0,28124,477474.0,236464.0,122403.0,37684.0,126487.0,45.0,163195.0
2014,2,OO,45555,2188,178,10785,485178.0,43498,443936.0,43189,741453.0,301842.0,159923.0,20521.0,145809.0,450.0,309320.0
2014,2,UA,36379,1353,60,9514,570697.0,35051,375606.0,34966,605253.0,278969.0,186072.0,30376.0,150685.0,0.0,194581.0
2014,2,US,31685,2100,116,6089,208585.0,29631,158776.0,29469,563869.0,205862.0,103218.0,17375.0,106759.0,939.0,89407.0
2014,2,VX,4237,131,16,987,89853.0,4106,77290.0,4090,58255.0,32862.0,10167.0,4494.0,49048.0,298.0,35398.0
2014,2,WN,84581,2698,177,22155,1234611.0,81911,806635.0,81706,947831.0,461145.0,300035.0,31159.0,147661.0,788.0,577573.0
2014,3,AA,46270,877,125,8361,369277.0,45404,206666.0,45268,723218.0,393302.0,154924.0,21376.0,110075.0,358.0,187067.0
2014,3,AS,12932,71,22,1438,14748.0,12864,-26211.0,12839,181396.0,72014.0,24798.0,2216.0,17937.0,374.0,26027.0
2014,3,B6,21478,427,38,4437,169493.0,21055,93832.0,21013,377176.0,125701.0,75621.0,4238.0,63034.0,321.0,85773.0
