year,ORIGIN,DEST,flights,delayed15,arr_delay_sum,arr_delay_n
2014,ABE,ATL,829,121,4501.0,804
2014,ABE,DTW,665,78,2145.0,642
2014,ABI,DFW,2832,579,30303.0,2700
2014,ABQ,ATL,893,102,1714.0,879
2014,ABQ,BWI,559,130,3688.0,556
2014,ABQ,DAL,2550,598,22158.0,2530
2014,ABQ,DEN,1660,382,13885.0,1640
2014,ABQ,DFW,2507,413,12648.0,2442
2014,ABQ,HOU,1020,227,9153.0,1015
2014,ABQ,IAH,1257,238,8351.0,1225
2014,ABQ,JFK,342,77,1174.0,324
2014,ABQ,LAS,1673,427,17691.0,1662
2014,ABQ,LAX,2443,543,22258.0,2402
2014,ABQ,MCI,352,55,1906.0,351
2014,ABQ,MDW,715,175,6614.0,685
2014,ABQ,MSP,340,34,982.0,338
2014,ABQ,OAK,910,304,13737.0,903
2014,ABQ,ORD,633,208,11629.0,595
2014,ABQ,PHX,3532,815,31394.0,3489
2014,ABQ,SAN,810,202,8071.0,805
2014,ABQ,SEA,613,170,7257.0,612
2014,ABQ,SFO,365,95,4710.0,351
2014,ABQ,SLC,1032,61,-5396.0,1025
2014,ABR,MSP,752,80,-2541.0,734
2014,ABY,ATL,1003,170,2958.0,981
2014,ACT,DFW,1762,359,13829.0,1682
2014,ACV,SFO,2194,613,36208.0,1976
2014,ACV,SMF,578,69,2006.0,542
2014,ADQ,ANC,536,61,98.0,504
2014,AEX,ATL,1322,228,9144.0,1280
2014,AEX,DFW,1078,230,12988.0,1018
2014,AEX,IAH,1025,183,6198.0,981
2014,AGS,ATL,2652,481,13032.0,2597
2014,ALB,ATL,1030,200,4412.0,1005
2014,ALB,BWI,1880,298,5513.0,1853
2014,ALB,CLT,702,116,-110.0,688
2014,ALB,DTW,480,67,-1089.0,474
2014,ALB,FLL,355,71,1129.0,350
2014,ALB,LAS,324,36,-1497.0,318
2014,ALB,MCO,668,112,2082.0,655
2014,ALB,MDW,727,171,6212.0,699
2014,ALB,ORD,927,281,14079.0,878
2014,ALB,TPA,438,72,1011.0,430
2014,ALO,ORD,678,187,10150.0,621
2014,AMA,DAL,1662,359,16029.0,1647
2014,AMA,DEN,1274,288,12886.0,1232
2014,AMA,DFW,2835,783,41842.0,2673
2014,AMA,IAH,1127,202,5616.0,1088
2014,AMA,LAS,365,83,2414.0,365
2014,ANC,ADQ,536,57,294.0,503
2014,ANC,BET,978,121,1731.0,965
2014,ANC,CDV,362,50,500.0,360
2014,ANC,DEN,492,96,4877.0,490
2014,ANC,FAI,737,70,-1309.0,733
2014,ANC,JNU,1114,142,4588.0,1074
2014,ANC,LAX,367,36,-2846.0,367
2014,ANC,MSP,737,80,-844.0,733
2014,ANC,OME,402,46,227.0,393
2014,ANC,ORD,678,129,3204.0,665
2014,ANC,OTZ,680,66,986.0,665
2014,ANC,PDX,999,70,-7177.0,997
2014,ANC,PHX,433,61,-1612.0,429
2014,ANC,SCC,406,75,2053.0,401
2014,ANC,SEA,6156,684,-14254.0,6138
2014,APN,DTW,353,44,-882.0,344
2014,ASE,DEN,2389,555,24881.0,2122
2014,ASE,IAH,388,92,5140.0,338
2014,ASE,LAX,760,243,13922.0,658
2014,ASE,ORD,548,149,8325.0,468
2014,ATL,ABE,834,164,4297.0,812
2014,ATL,ABQ,894,155,1175.0,883
2014,ATL,ABY,1002,192,3826.0,978
2014,ATL,AEX,1322,266,8415.0,1282
2014,ATL,AGS,2652,541,16559.0,2598
2014,ATL,ALB,1029,188,3935.0,1010
